mesto,tekmovalka,tekma
39,6596,188
40,7917,188
1,7669,189
2,7477,189
3,6113,189
4,6198,189
5,6197,189
6,4130,189
7,6470,189
8,7072,189
9,5855,189
10,6388,189
11,7267,189
12,6043,189
13,1909,189
14,7439,189
14,6570,189
16,7154,189
17,6596,189
18,6867,189
19,8446,189
20,7183,189
21,6646,189
22,5793,189
23,6875,189
24,1952,189
25,6395,189
26,8132,189
27,7726,189
28,6548,189
29,7378,189
30,7507,189
31,6563,189
32,6898,189
33,6595,189
34,5917,189
35,6397,189
36,5883,189
37,6210,189
38,7372,189
39,7917,189
40,8524,189
1,7669,190
2,7477,190
3,6197,190
4,7072,190
5,6198,190
6,6210,190
7,6113,190
8,4130,190
9,7267,190
10,5855,190
11,5754,190
12,6867,190
13,6470,190
14,6570,190
15,1909,190
16,6388,190
17,7154,190
18,6043,190
19,7439,190
20,6875,190
21,7183,190
22,6596,190
23,8446,190
24,7372,190
25,8132,190
26,1952,190
26,5883,190
28,6664,190
29,7726,190
30,6548,190
31,5793,190
32,6646,190
33,6563,190
34,6595,190
35,6898,190
36,7378,190
37,6397,190
38,8524,190
39,7507,190
40,7917,190
1,7669,191
2,6113,191
3,7477,191
4,6470,191
5,7267,191
6,6197,191
7,7072,191
8,6198,191
9,4130,191
10,6867,191
11,1909,191
12,6210,191
13,7183,191
14,9345,191
15,6043,191
16,6548,191
17,6596,191
18,1952,191
18,7439,191
20,7372,191
21,8446,191
22,5855,191
23,6664,191
24,6875,191
25,8132,191
26,7505,191
27,5754,191
28,6563,191
29,6570,191
30,7917,191
31,6388,191
32,6397,191
33,6898,191
34,7154,191
34,8148,191
36,5917,191
37,5793,191
38,5883,191
39,7608,191
40,7271,191
1,6113,192
2,7669,192
3,6197,192
4,7477,192
5,7072,192
6,6198,192
7,4130,192
8,7267,192
9,6470,192
10,7183,192
11,8132,192
12,5754,192
13,7505,192
14,7439,192
15,5855,192
16,6867,192
17,6210,192
18,8446,192
19,7154,192
20,1909,192
21,7372,192
22,1952,192
23,6548,192
24,6664,192
25,6043,192
26,6570,192
27,6388,192
28,7608,192
29,7271,192
30,7571,192
31,6563,192
32,6875,192
33,6898,192
34,6596,192
35,5917,192
36,7917,192
37,7378,192
38,5793,192
39,5883,192
,9345,192
1,6470,193
2,6197,193
3,6113,193
4,7669,193
5,6198,193
6,1909,193
7,7072,193
8,7477,193
9,7267,193
10,6570,193
11,6548,193
12,7183,193
13,6210,193
14,7917,193
15,4130,193
15,7372,193
17,7439,193
18,7505,193
19,5883,193
20,6867,193
21,7154,193
22,5754,193
23,7271,193
24,5855,193
25,7571,193
25,8446,193
27,6563,193
28,5917,193
29,7608,193
30,6596,193
31,6664,193
32,6388,193
33,5793,193
34,9345,193
35,6043,193
36,6397,193
37,8148,193
38,8132,193
39,6646,193
40,6898,193
1,7669,194
2,6470,194
3,4130,194
4,6197,194
5,6113,194
6,6198,194
7,7183,194
8,7072,194
9,1952,194
10,6548,194
10,1909,194
12,6043,194
13,7571,194
14,5793,194
15,7477,194
16,6867,194
17,6563,194
18,5883,194
19,7154,194
20,7505,194
21,7372,194
22,6898,194
23,7917,194
23,8132,194
25,7439,194
26,6210,194
27,6595,194
28,6596,194
29,5917,194
30,6664,194
31,7608,194
32,8446,194
33,6875,194
34,7378,194
35,6570,194
36,7267,194
37,7575,194
38,7233,194
39,5855,194
40,7823,194
